Symbol, Name, lastsale, netchange,pctchange, share_volume, Nasdaq100_points,
ATVI, Activision Blizzard Inc, 47.29, 0.33,0.7, 5976678, .2,
ADBE, Adobe Inc., 267.45, -0.44,-0.16, 1970627, -.2,
AMD, Advanced Micro Devices Inc., 28.98, -0.11,-0.38, 65662738, -.1,
ALXN, Alexion Pharmaceuticals Inc., 141.2, 1.27,0.91, 1208313, .3,
ALGN, Align Technology Inc., 295.88, 7.92,2.75, 1386161, .6,
GOOG, Alphabet Inc., 1207.15, -7.85,-0.65, 907147, -2.3,
GOOGL, Alphabet Inc., 1211.45, -8,-0.66, 1001044, -2.1,
AMZN, Amazon.com Inc., 1837.28, 18.42,1.01, 3640476, 7.6,
AAL, American Airlines Group Inc., 34.06, 0.13,0.38, 5164739, .1,
AMGN, Amgen Inc., 195.41, 3.08,1.6, 2163284, 1.8,
ADI, Analog Devices Inc., 111.46, 0.92,0.83, 2528768, .3,
AAPL, Apple Inc., 197, 1.31,0.67, 18526644, 5.2,
AMAT, Applied Materials Inc., 43.04, 0.42,0.99, 8502898, .4,
ASML, ASML Holding N.V., 201.39, 3.01,1.52, 503197, .2,
ADSK, Autodesk Inc., 166.33, 1.28,0.78, 1259071, .3,
ADP, Automatic Data Processing Inc., 160.34, 1,0.63, 1497751, .4,
BIDU, Baidu Inc., 181.55, 2.42,1.35, 2929451, .6,
BIIB, Biogen Inc., 241.72, 6.68,2.84, 3250643, 1.2,
BMRN, BioMarin Pharmaceutical Inc., 93.9, 1.52,1.65, 799294, .3,
BKNG, Booking Holdings Inc., 1769.45, -11.15,-0.63, 365789, -.5,
AVGO, Broadcom Inc., 304.28, 2.28,0.75, 1887537, .8,
CDNS, Cadence Design Systems Inc., 64.2, 0.53,0.83, 1939052, .1,
CELG, Celgene Corporation, 94.8, 0.43,0.46, 9655577, .3,
CERN, Cerner Corporation, 57.32, 0.27,0.47, 993066, .1,
CHTR, Charter Communications Inc., 351.44, 5.72,1.65, 1247185, 1.2,
CHKP, Check Point Software Technologies Ltd., 123.97, -0.25,-0.2, 900126, .0,
CTAS, Cintas Corporation, 206.37, 1.03,0.5, 219927, .1,
CSCO, Cisco Systems Inc., 55.21, 0.07,0.13, 13817484, .3,
CTXS, Citrix Systems Inc., 100.98, 0.97,0.97, 2256655, .1,
CTSH, Cognizant Technology Solutions Corporation, 74.2, 0.41,0.56, 2572828, .2,
CMCSA, Comcast Corporation, 40.42, 0.01,0.02, 21141034, .0,
COST, Costco Wholesale Corporation, 245.87, 1.47,0.6, 1616207, .6,
CSX, CSX Corporation, 74.42, -0.38,-0.51, 4410376, -.3,
CTRP, Ctrip.com International Ltd., 45.75, 1.32,2.97, 4008880, .6,
DLTR, Dollar Tree Inc., 105.99, 0.36,0.34, 2615041, .1,
EBAY, eBay Inc., 37.84, -0.21,-0.55, 7907443, -.2,
EA, Electronic Arts Inc., 99.43, 1.49,1.52, 3737973, .4,
EXPE, Expedia Group Inc., 122.5, -0.05,-0.04, 1080330, .0,
FB, Facebook Inc., 175.72, -0.3,-0.17, 9594133, -.6,
FAST, Fastenal Company, 66.67, 0.35,0.53, 1286581, .1,
FISV, Fiserv Inc., 89.86, -0.22,-0.24, 1924684, -.1,
FOX, Fox Corporation, 36.98, 0.95,2.64, 2116209, .2,
FOXA, Fox Corporation, 37.68, 0.92,2.5, 7344894, .3,
GILD, Gilead Sciences Inc., 67.54, 0.7,1.05, 5401075, .8,
HAS, Hasbro Inc., 86.56, 0.53,0.62, 589931, .1,
HSIC, Henry Schein Inc., 62.73, 1.37,2.23, 1881951, .2,
IDXX, IDEXX Laboratories Inc., 227.77, 1.84,0.81, 341830, .2,
